protein,interactors
MRPS15,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS21,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPL55
MRPS34,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS6,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS9,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS27,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS31,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS24,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS26,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS30,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS18A,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 MRPS33 DAP3 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS33,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS28,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS17,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS7,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS2,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS16,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS18C,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 MRPS33 DAP3 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS23,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPS18B,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 MRPS33 DAP3 MRPL2 MRPL28 MRPL33 MRPL36 MRPS18C MRPL54 MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPS22 MRPL16 MRPS24 MRPS14 MRPL49 MRPL1 MRPL17 MRPL24 MRPS36 MRPS21 MRPL55
MRPL33,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL3,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL19,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL12,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
LACTB,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL28,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL49,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL23,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL51,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL2 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
MRPL2,MRPL44 MRPL39 MRPL15 MRPL21 MRPL34 MRPL4 MRPS34 DAP3 MRPS33 MRPL28 MRPL33 MRPL36 MRPL54 MRPS18C MRPS9 MRPS23 MRPL45 MRPS12 MRPL23 MRPL20 MRPS7 MRPL10 MRPL47 MRPL38 MRPS28 MRPL3 MRPS27 MRPL30 MRPL37 MRPL27 MRPS31 MRPS18A MRPS6 MRPS16 MRPL41 MRPL35 MRPL11 MRPL14 MRPL51 MRPS5 MRPS15 MRPL40 MRPL18 MRPS17 MRPS11 MRPL19 MRPL50 MRPL12 MRPS30 MRPL9 MRPL48 MRPS10 MRPL42 LACTB MRPL52 MRPL53 MRPS25 MRPS26 MRPL32 MRPS35 MRPL22 MRPL43 MRPL13 MRPL46 MRPS2 MRPL16 MRPS22 MRPS14 MRPL49 MRPS24 MRPL1 MRPL17 MRPL24 MRPS36 MRPS18B MRPS21 MRPL55
