protein,interactors
BLOC1S3,BLOC1S1 BLOC1S4 AP3D1 AP3B2 BLOC1S5 HPS5 AP3S2 AP3M1 AP3B1 AP3S1 HPS6 BLOC1S6 DTNBP1 SNAPIN HPS3 AP3M2 BLOC1S2
BLOC1S2,BLOC1S1 BLOC1S4 BORCS6 BORCS7 AP3D1 BLOC1S3 AP3B2 BLOC1S5 HPS5 AP3S2 AP3M1 AP3B1 AP3S1 HPS6 BORCS5 BLOC1S6 DTNBP1 BORCS8 SNAPIN HPS3 KXD1 AP3M2
BLOC1S5,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 HPS5 AP3S2 AP3M1 AP3B1 AP3S1 HPS6 BLOC1S6 DTNBP1 SNAPIN HPS3 AP3M2 BLOC1S2
DTNBP1,BLOC1S1 BLOC1S4 TRIM32 PRKDC AP3D1 HDAC3 BLOC1S3 AP3B2 BLOC1S5 HPS5 XRCC5 AP3S2 XRCC6 AP3M1 AP3B1 AP3S1 HPS6 BLOC1S6 SNAPIN HPS3 AP3M2 BLOC1S2
BLOC1S4,BLOC1S1 AP3D1 BLOC1S3 AP3B2 BLOC1S5 HPS5 AP3S2 AP3M1 AP3B1 AP3S1 HPS6 BLOC1S6 DTNBP1 SNAPIN HPS3 AP3M2 BLOC1S2
BLOC1S6,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 BLOC1S5 HPS5 AP3S2 PI4K2A AP3M1 AP3B1 AP3S1 HPS6 DTNBP1 SNAPIN HPS3 AP3M2 BLOC1S2
ARPC1B,ACTR3 ACTR2 ARPC2 ARPC4 ARPC5 ARPC3
ARPC2,ACTR3 ACTR2 ARPC4 ARPC5 ARPC3 ARPC1B
ARPC3,ACTR3 ACTR2 ARPC2 ARPC4 ARPC5 ARPC1B
ARPC5,ACTR3 ACTR2 ARPC2 ARPC4 ARPC3 ARPC1B
ARPC4,ACTR3 ACTR2 ARPC2 ARPC5 ARPC3 ARPC1B
ACTR3,ARPC4 ARPC3 ARPC1B ACTR2 ARPC2 WHAMM ARPC5
ACTR2,ACTR3 ARPC2 ARPC4 ARPC5 ARPC3 ARPC1B
PSME3,PSMB1 PSMB7 PSMA2 PSMB4 PSMA1 PSMA5 PSMA4 PSMA3 PSMA6 PSMB6 PSMB5 PSMB3 PSMA7 PSMB2
PSME1,PSMB1 PSMB7 PSMD14 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMA7 PSMD1 PSMD4 PSMA2 PSMD8 PSMD7 PSMB4 PSMD12 PSMA1 PSMA5 PSMD11 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB5 PSME2 PSMD9 PSMD5 PSMB2 PSMC2
PSME2,PSME1 PSMB1 PSMB7 PSMD14 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMA7 PSMD1 PSMD4 PSMA2 PSMD8 PSMD7 PSMB4 PSMD12 PSMA1 PSMA5 PSMD11 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB5 PSMD9 PSMD5 PSMB2 PSMC2
PSMD11,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD12,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD9,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD5 PSMC2
PSMD14,PSMB1 PSME1 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
